first,second,repository,file,line
torch.nnSequential,torch.nnSequential,666DZY666/micronet,micronet/deploy/tensorrt/models/models_trt.py,65
torch.nnSequential,conv3x3_bn_relu,666DZY666/micronet,micronet/deploy/tensorrt/models/models_trt.py,69
conv3x3_bn_relu,torch.nnSequential,666DZY666/micronet,micronet/deploy/tensorrt/models/models_trt.py,71
torch.nnSequential,torch.nnSequential,666DZY666/micronet,micronet/deploy/tensorrt/models/models_trt.py,75
torch.nnSequential,torch.nnConv2d,666DZY666/micronet,micronet/deploy/tensorrt/models/models_trt.py,79
torch.nnConv2d,torch.nnBatchNorm2d,666DZY666/micronet,micronet/models/nin.py,21
torch.nnBatchNorm2d,torch.nnReLU,666DZY666/micronet,micronet/models/nin.py,22
torch.nnConv2d,torch.nnBatchNorm2d,666DZY666/micronet,micronet/models/nin_gc.py,39
torch.nnBatchNorm2d,torch.nnReLU,666DZY666/micronet,micronet/models/nin_gc.py,40
torch.nnSequential,torch.nnSequential,666DZY666/micronet,micronet/models/resnet.py,31
torch.nnSequential,torch.nnSequential,666DZY666/micronet,micronet/models/resnet.py,66
torch.nnSequential,_make_layer,666DZY666/micronet,micronet/models/resnet.py,94
_make_layer,torch.nnAdaptiveAvgPool2d,666DZY666/micronet,micronet/models/resnet.py,98
torch.nnAdaptiveAvgPool2d,torch.nnLinear,666DZY666/micronet,micronet/models/resnet.py,99
torch.nnParameter,log,AI4Finance-LLC/ElegantRL,eRL_demo_SingleFilePPO.py,31
torch.nnSequential,torch.nnParameter,AI4Finance-LLC/ElegantRL,SingleFilePPO.py,24
torch.nnParameter,log,AI4Finance-LLC/ElegantRL,SingleFilePPO.py,25
torch.nnSequential,torch.nnSequential,AI4Finance-LLC/ElegantRL,elegantrl/net.py,27
torch.nnSequential,torch.nnSequential,AI4Finance-LLC/ElegantRL,elegantrl/net.py,29
torch.nnSequential,torch.nnSequential,AI4Finance-LLC/ElegantRL,elegantrl/net.py,44
torch.nnSequential,torch.nnSequential,AI4Finance-LLC/ElegantRL,elegantrl/net.py,46
torch.nnSequential,torch.nnSequential,AI4Finance-LLC/ElegantRL,elegantrl/net.py,65
torch.nnSequential,torch.nnSequential,AI4Finance-LLC/ElegantRL,elegantrl/net.py,67
torch.nnSequential,torch.nnSequential,AI4Finance-LLC/ElegantRL,elegantrl/net.py,69
torch.nnSequential,torch.nnSequential,AI4Finance-LLC/ElegantRL,elegantrl/net.py,71
torch.nnParameter,log,AI4Finance-LLC/ElegantRL,elegantrl/net.py,146
torch.nnLinear,torch.nnLinear,AI4Finance-LLC/ElegantRL,elegantrl/net.py,186
torch.nnLinear,log,AI4Finance-LLC/ElegantRL,elegantrl/net.py,188
torch.nnLinear,torch.nnLinear,AI4Finance-LLC/ElegantRL,elegantrl/net.py,310
torch.nnSequential,torch.nnSequential,AI4Finance-LLC/ElegantRL,elegantrl/net.py,335
torch.nnSequential,torch.nnSequential,AI4Finance-LLC/ElegantRL,elegantrl/net.py,342
torch.nnSequential,torch.nnSequential,AI4Finance-LLC/ElegantRL,elegantrl/net.py,400
torch.nnSequential,torch.nnSequential,AI4Finance-LLC/ElegantRL,elegantrl/net.py,407
torch.nnSequential,torch.nnSequential,AI4Finance-LLC/ElegantRL,elegantrl/net.py,409
torch.nnSequential,torch.nnSequential,AI4Finance-LLC/ElegantRL,elegantrl/net.py,411
torch.nnSequential,torch.nnParameter,AI4Finance-LLC/ElegantRL,elegantrl/net.py,509
torch.nnParameter,torch.nnSequential,AI4Finance-LLC/ElegantRL,elegantrl/net.py,511
torch.nnSequential,torch.nnSequential,AI4Finance-LLC/ElegantRL,elegantrl/net.py,513
torch.nnSequential,torch.nnSequential,AI4Finance-LLC/ElegantRL,elegantrl/net.py,572
torch.nnSequential,torch.nnSequential,AI4Finance-LLC/ElegantRL,elegantrl/net.py,587
torch.nnSequential,torch.nnSequential,AI4Finance-LLC/ElegantRL,elegantrl/net.py,589
torch.nnSequential,torch.nnSequential,AI4Finance-LLC/ElegantRL,elegantrl/net.py,591
torch.nnSequential,torch.nnSequential,AI4Finance-LLC/ElegantRL,elegantrl/AgentZoo/ElegantRL-MultiGPU/net.py,27
torch.nnSequential,torch.nnSequential,AI4Finance-LLC/ElegantRL,elegantrl/AgentZoo/ElegantRL-MultiGPU/net.py,29
torch.nnSequential,torch.nnSequential,AI4Finance-LLC/ElegantRL,elegantrl/AgentZoo/ElegantRL-MultiGPU/net.py,44
torch.nnSequential,torch.nnSequential,AI4Finance-LLC/ElegantRL,elegantrl/AgentZoo/ElegantRL-MultiGPU/net.py,46
torch.nnSequential,torch.nnSequential,AI4Finance-LLC/ElegantRL,elegantrl/AgentZoo/ElegantRL-MultiGPU/net.py,65
torch.nnSequential,torch.nnSequential,AI4Finance-LLC/ElegantRL,elegantrl/AgentZoo/ElegantRL-MultiGPU/net.py,67
torch.nnSequential,torch.nnSequential,AI4Finance-LLC/ElegantRL,elegantrl/AgentZoo/ElegantRL-MultiGPU/net.py,69
